date,open,high,low,close,volume
2024-01-02,351.32,353.16,340.01,346.29,19042152
2024-01-03,344.98,347.95,343.175,344.47,15451133
2024-01-04,344.5,348.1499,343.3987,347.12,12099895
2024-01-05,346.99,353.5,346.2601,351.95,13919573
2024-01-08,354.7,358.98,352.05,358.66,13890222
2024-01-09,356.4,360.64,355.36,357.43,13463871
2024-01-10,360.17,372.94,359.08,370.47,22117206
2024-01-11,372.13,372.78,362.93,369.67,17205385
2024-01-12,370.155,377.06,369.54,374.49,19310046
2024-01-16,373.65,375.61,367.23,367.46,15306885
2024-01-17,366.3,368.54,358.61,368.37,12724779
2024-01-18,371.49,376.85,370.95,376.13,16354332
2024-01-19,379.0,384.36,377.97,383.45,21670806
2024-01-22,387.95,390.3525,381.1601,381.78,17680454
2024-01-23,384.615,388.38,382.075,385.2,15506096
2024-01-24,390.0,396.15,387.81,390.7,15698460
2024-01-25,390.17,395.49,385.66,393.18,15091080
2024-01-26,394.35,396.79,391.5908,394.14,13159290
2024-01-29,394.985,402.93,393.1,401.02,18742433
2024-01-30,403.59,406.36,399.57,400.06,18614727
2024-01-31,389.0,398.0,387.1,390.14,20180817
2024-02-01,393.94,400.5,393.05,394.78,29727051
2024-02-02,459.6,485.96,453.01,474.99,84707646
2024-02-05,469.88,471.9,459.22,459.41,40832376
2024-02-06,464.0,467.12,453.0,454.72,21655214
2024-02-07,458.0,471.52,456.1773,469.59,23065994
2024-02-08,468.32,470.59,465.03,470.0,18815097
2024-02-09,472.95,473.59,467.465,468.11,18413137
2024-02-12,468.19,479.145,466.58,468.9,19381963
2024-02-13,456.87,467.89,455.09,460.12,20916602
2024-02-14,467.93,474.11,466.0901,473.28,16858401
2024-02-15,475.28,488.62,472.22,484.03,24212326
2024-02-16,478.11,478.96,469.21,473.32,23324620
2024-02-20,469.715,476.18,466.56,471.75,18015523
2024-02-21,466.5,469.0,461.79,468.03,12977050
2024-02-22,480.24,489.99,476.0618,486.13,21625805
2024-02-23,488.05,494.3599,482.3482,484.03,18374286
2024-02-26,483.47,486.14,480.6,481.74,12101415
2024-02-27,479.975,487.27,479.92,487.05,10809595
2024-02-28,485.0,491.05,482.75,484.02,12715486
2024-02-29,488.44,491.7,482.61,490.13,17732045
2024-03-01,492.11,504.25,491.85,502.3,15884882
2024-03-04,503.0,504.42,496.42,498.19,12324141
2024-03-05,495.0,495.58,487.89,490.22,15325299
2024-03-06,497.63,502.97,494.292,496.09,11757925
2024-03-07,503.28,519.85,501.38,512.19,18586437
2024-03-08,514.19,523.57,499.35,505.95,18597059
2024-03-11,497.01,497.32,476.0,483.59,19982445
2024-03-12,493.26,502.31,484.73,499.75,15362157
2024-03-13,495.39,500.98,491.0318,495.57,11937907
2024-03-14,500.255,501.35,488.16,491.83,12571134
2024-03-15,489.01,491.83,481.3001,484.1,29153576
2024-03-18,491.91,497.42,486.81,496.98,11755251
